algoritmo,tamanho,complexidade,tempo,razao,tempo_max,tempo_min,memoria
pph,100,O(n^2),0.0008584,11649422.848208461,5.0002477169036865,0,1400
pph_bubble,100,O(n^2),0.0014851,6733695.608928811,5.000226020812988,0,15072
pph_insertion,100,O(n^2),0.0007951,12576983.107249774,5.013921022415161,0,8864
pph_selection,100,O(n^2),0.0009578,10440597.566445127,5.000671625137329,0,8864
pph_heapsort,100,O(n.log(n)),0.0005565,827584.8319818649,5.00089693069458,0,94752
pph_mergesort,100,O(n.log(n)),0.0009752,472224.7411770297,5.000863075256348,0,11392
pph_quicksort,100,O(n.log(n)),0.0008984,512574.9783512492,5.0007078647613525,0,11472
q3_quickselect,100,O(n^2),0.0063431,1576514.785641674,5.00471043586731,0,9336
pph,1000,O(n^2),0.0070930,140983516.14086258,5.000584602355957,0,4048
pph_bubble,1000,O(n^2),0.9862530,1013938.6311829445,5.917517900466919,0,139360
pph_insertion,1000,O(n^2),0.2509737,3984481.4082648437,5.0194737911224365,0,81760
pph_selection,1000,O(n^2),0.2944809,3395806.0525905173,5.300656080245972,0,81760
pph_heapsort,1000,O(n.log(n)),0.0079012,874270.7286223263,5.001435995101929,0,148388
pph_mergesort,1000,O(n.log(n)),0.0108999,633742.4998154131,5.003072500228882,0,113704
pph_quicksort,1000,O(n.log(n)),0.0112381,614675.2660066411,5.000935077667236,0,127312
q3_quickselect,1000,O(n^2),14.8915675,67152.09813242801,29.783134937286377,0,129016
pph,200,O(n^2),0.0017422,22959290.579781737,5.000154495239258,0,1496
pph_bubble,200,O(n^2),0.0050938,7852686.908065673,5.002109527587891,0,16800
pph_insertion,200,O(n^2),0.0018735,21350487.14714524,5.000354290008545,0,16800
pph_selection,200,O(n^2),0.0024209,16522863.07777085,5.001554489135742,0,16800
pph_heapsort,200,O(n.log(n)),0.0011628,911288.1649856233,5.000123023986816,0,85192
pph_mergesort,200,O(n.log(n)),0.0019476,544098.8038439652,5.001326560974121,0,22472
pph_quicksort,200,O(n.log(n)),0.0016746,632804.1583289284,5.00188684463501,0,22736
q3_quickselect,200,O(n^2),0.0225859,1771019.3795696136,5.014061450958252,0,17240
pph,2000,O(n^2),0.0106998,373838267.16066515,5.007513046264648,0,2824
pph_bubble,2000,O(n^2),2.7815776,1438032.869732202,5.563155174255371,0,225056
pph_insertion,2000,O(n^2),1.0359021,3861368.5943839527,6.215412855148315,0,161088
pph_selection,2000,O(n^2),1.0528062,3799369.770640319,5.264030933380127,0,161088
pph_heapsort,2000,O(n.log(n)),0.0162869,933375.0666276012,5.000084400177002,0,194932
pph_mergesort,2000,O(n.log(n)),0.0229104,663532.8999644101,5.017377853393555,0,224320
pph_quicksort,2000,O(n.log(n)),0.0256690,592225.3450697957,5.005445957183838,0,239896
